taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
11117436	Anthomyia psilommata Fan & Chen, 1992	11117436	Anthomyia psilommata Fan & Chen, 1992	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Anthomyia	1480567	Anthomyia psilommata	11117436	
1572972	Paraprosalpia varicilia Fan & Wang, 1983	1572971	Alliopsis varicilia (Fan & Wang, 1983)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis varicilia	1572971	
5077476	Delia spicularis Fan, 1984	5077476	Delia spicularis Fan, 1984	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia spicularis	5077476	
5077372	Egle gracilior Zheng & Fan, 1990	5766600	Egle minuta (Meigen, 1826)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Egle	1573618	Egle minuta	5766600	
1575304	Chirosia laticerca Fan, 1984	1575304	Chirosia laticerca Fan, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604	Chirosia laticerca	1575304	
11209457	Lopesohylemyia qinghaiensis Fan, Chen & Ma	11209457	Lopesohylemyia qinghaiensis Fan, Chen & Ma	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Lopesohylemyia	11149549	Lopesohylemyia qinghaiensis	11209457	
1576117	Pegomya lhasaensis Zhong, 1985	1576117	Pegomya lhasaensis Zhong, 1985	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya lhasaensis	1576117	
5077892	Meliniella spatuliforceps Fan & Chu, 1982	1575294	Chirosia spatuliforceps (Fan & Chu, 1982)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604	Chirosia spatuliforceps	1575294	
5077824	Leucophora brevifrons (Stein, 1916)	5077824	Leucophora brevifrons (Stein, 1916)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Leucophora	5077755	Leucophora brevifrons	5077824	
4793066	Pegohylemyia peltophora Li, Cui & Fan, 1993	1575688	Botanophila peltophora (Li, Cui & Fan, 1993)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila peltophora	1575688	
1572981	Alliopsis rectiforceps Fan & Wu, 1983	1572981	Alliopsis rectiforceps Fan & Wu, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis rectiforceps	1572981	
5077718	Delia pectinitibia Jin & Fan, 1981	5077718	Delia pectinitibia Jin & Fan, 1981	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia pectinitibia	5077718	
4793070	Pegohylemyia brevipalpis Jin, 1983	10954285	Botanophila brevipalpis (Huckett, 1929)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila brevipalpis	10954285	
1575858	Calythea cheni Fan, 1965	1575858	Calythea cheni Fan, 1965	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Calythea	1575846	Calythea cheni	1575858	
11181811	Pegomya angusticerca Li & Deng, 1983	11181811	Pegomya angusticerca Li & Deng, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya angusticerca	11181811	
4793090	Pegohylemyia endotylata Deng, Li & Liu, 1996	1575625	Botanophila endotylata (Deng, Li & Liu, 1996)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila endotylata	1575625	
1573883	Eutrichota hamata Qian & Fan, 1981	1573883	Eutrichota hamata Qian & Fan, 1981	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Eutrichota	1573730	Eutrichota hamata	1573883	
5766609	Egle cyrtacra Fan & Wang, 1982	5766608	Egle subarctica (Huckett, 1965)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Egle	1573618	Egle subarctica	5766608	
1576088	Pegomya crinisternita Fan, Fan & Ma, 1988	1576088	Pegomya crinisternita Fan, Fan & Ma, 1988	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya crinisternita	1576088	
1575920	Pegomya spatulans Deng, Li & Sun	1575920	Pegomya spatulans Deng, Li & Sun	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya spatulans	1575920	
1573815	Eutrichota shandanensis Jin, 1985	1573815	Eutrichota shandanensis Jin, 1985	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Eutrichota	1573730	Eutrichota shandanensis	1573815	
11201763	Delia sinuiforcipis Zhong, 1985	11201763	Delia sinuiforcipis Zhong, 1985	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia sinuiforcipis	11201763	
4793103	Pegohylemyia trinivittata Zheng & Fan, 1990	1575429	Botanophila trinivittata (Zheng & Fan, 1990)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila trinivittata	1575429	
1575954	Pegomya maniceiformis Feng, Liu & Zhou, 1984	1575954	Pegomya maniceiformis Feng, Liu & Zhou, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya maniceiformis	1575954	
1576293	Pegomya dictenata Deng & Li, 1988	1576293	Pegomya dictenata Deng & Li, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya dictenata	1576293	
5077454	Delia quadrilateralis Fan & Zhong, 1982	5077454	Delia quadrilateralis Fan & Zhong, 1982	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia quadrilateralis	5077454	
5077480	Delia rondanii (Ringdahl, 1918)	5077480	Delia rondanii (Ringdahl, 1918)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia rondanii	5077480	
1574809	Lasiomma luteoforceps Fan & Fang, 1981	1574809	Lasiomma luteoforceps Fan & Fang, 1981	13	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Lasiomma	9766058	Lasiomma luteoforceps	1574809	
1575583	Pegohylemyia spinulibasis Li & Deng, 1981	1575582	Botanophila spinulibasis (Li & Deng, 1981)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila spinulibasis	1575582	
1576030	Pegomya crinilamella Fan & Qian, 1988	1576030	Pegomya crinilamella Fan & Qian, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya crinilamella	1576030	
1573014	Alliopsis ctenostylata Li & Deng, 1981	1573014	Alliopsis ctenostylata Li & Deng, 1981	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis ctenostylata	1573014	
1573936	Hylemya supraorbitalis Fan, 1982	1573936	Hylemya supraorbitalis Fan, 1982	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hylemya	1573910	Hylemya supraorbitalis	1573936	
1572882	Nupedia linotaenia Ma, 1988	1572881	Pegoplata linotaenia (Ma, 1988)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegoplata	1572854	Pegoplata linotaenia	1572881	
11112667	Eutrichota latirubigena Zhong, 1985	11112667	Eutrichota latirubigena Zhong, 1985	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Eutrichota	1573730	Eutrichota latirubigena	11112667	
11129864	Pegomya semiannula Li, Deng, Zhu & Sun, 1984	11129864	Pegomya semiannula Li, Deng, Zhu & Sun, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya semiannula	11129864	
1576224	Pegomya yushuensis Fan, 1986	1576224	Pegomya yushuensis Fan, 1986	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya yushuensis	1576224	
1573088	Paraprosalpia delioides Fan, 1983	1573087	Alliopsis delioides (Fan, 1983)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis delioides	1573087	
10976812	Leucophora hangzhouensis Fan, 1986	10976812	Leucophora hangzhouensis Fan, 1986	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Leucophora	5077755	Leucophora hangzhouensis	10976812	
1573605	Hydrophoria longissima Fan & Zhong, 1984	1573605	Hydrophoria longissima Fan & Zhong, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hydrophoria	9774931	Hydrophoria longissima	1573605	
11303647	Pegohylemyia triaforialis Jin, 1983	11303647	Pegohylemyia triaforialis Jin, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegohylemyia	1574994	Pegohylemyia triaforialis	11303647	
1576401	Pegomya aurivillosa Fan & Chen, 1984	1576401	Pegomya aurivillosa Fan & Chen, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya aurivillosa	1576401	
1573516	Engyneura curvostylata Fan & Chen, 1980	12024493	Hyporites curvostylata (Fan & Chen, 1980)	12	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hyporites	1572954	Hyporites curvostylata	12024493	
11157090	Pegomya meniscoides Li, Deng, Zhu & Sun, 1984	11157090	Pegomya meniscoides Li, Deng, Zhu & Sun, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya meniscoides	11157090	
1573549	Hydrophoria pronata Fan & Qian, 1984	1573549	Hydrophoria pronata Fan & Qian, 1984	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hydrophoria	9774931	Hydrophoria pronata	1573549	
5077379	Egle rectapica Ge & Fan, 1981	5077379	Egle rectapica Ge & Fan, 1981	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Egle	1573618	Egle rectapica	5077379	
5077509	Delia penicillella Fan, 1984	5077509	Delia penicillella Fan, 1984	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia penicillella	5077509	
1576229	Pegomya diplothrixa Li, Liu & Fan, 1999	1576229	Pegomya diplothrixa Li, Liu & Fan, 1999	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya diplothrixa	1576229	
4792969	Craspedochoeta pullulula Fan, 1984	1573459	Anthomyia pullulula (Fan, 1984)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Anthomyia	1480567	Anthomyia pullulula	1573459	
1573046	Paraprosalpia lutebasicosta Fan, 1983	1573009	Alliopsis maculifrons (Zetterstedt, 1837)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis maculifrons	1573009	
1576097	Pegomya medogensis Fan & Chen, 1984	1576097	Pegomya medogensis Fan & Chen, 1984	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya medogensis	1576097	
11214155	Pegomya densipilosa Li, Deng, Zhu & Sun, 1984	11214155	Pegomya densipilosa Li, Deng, Zhu & Sun, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya densipilosa	11214155	
11144840	Pegomya cincinnata Li & Deng, 1990	11144840	Pegomya cincinnata Li & Deng, 1990	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya cincinnata	11144840	
11189418	Anthomyia lasiommata Fan & Chen, 1992	11189418	Anthomyia lasiommata Fan & Chen, 1992	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Anthomyia	1480567	Anthomyia lasiommata	11189418	
1575285	Chirosia orthostylata Qian & Fan, 1981	1575285	Chirosia orthostylata Qian & Fan, 1981	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604	Chirosia orthostylata	1575285	
1576251	Pegomya clavellata Fan, 1982	1576251	Pegomya clavellata Fan, 1982	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya clavellata	1576251	
1576274	Pegomya laterisetata Deng & Li, 1988	1576274	Pegomya laterisetata Deng & Li, 1988	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya laterisetata	1576274	
11345388	Pegohylemyia euryisurstyla Deng, Liu & Li, 1995	11642085	Botanophila euryisurstyla (Deng, Liu & Li, 1995)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila euryisurstyla	11642085	
11124985	Pegomya lutaepiculis Deng & Li, 1988	11124985	Pegomya lutaepiculis Deng & Li, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya lutaepiculis	11124985	
11365209	Pegohylemyia amedialis Zhong, 1985	11600252	Botanophila amedialis (Zhong, 1985)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila amedialis	11600252	
1575938	Pegomya huanglongensis Deng & Li, 1993	1575938	Pegomya huanglongensis Deng & Li, 1993	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya huanglongensis	1575938	
1576397	Pegomya folifera Li & Deng, 1983	1576397	Pegomya folifera Li & Deng, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya folifera	1576397	
4793119	Pegohylemyia mediotubera Deng, Li & Liu, 1996	1575461	Botanophila mediotubera (Deng, Li & Liu, 1996)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila mediotubera	1575461	
1573913	Hylemya bruneipalpis Fan, 1982	1573913	Hylemya bruneipalpis Fan, 1982	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hylemya	1573910	Hylemya bruneipalpis	1573913	
1576154	Pegomya unimediseta Deng & Li, 1988	1576154	Pegomya unimediseta Deng & Li, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya unimediseta	1576154	
1572967	Paraprosalpia dasyops Fan, 1983	1572966	Alliopsis dasyops (Fan, 1983)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis dasyops	1572966	
11117579	Delia taonura Deng & Li, 1994	11117579	Delia taonura Deng & Li, 1994	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia taonura	11117579	
11362489	Pegohylemyia midvirgella Deng, 1985	11714278	Botanophila midvirgella (Deng, 1985)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila midvirgella	11714278	
1574759	Lasiomma anthomyioides Fan, 1981	12154177	Egle anthomyioides (Fan, 1981)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Egle	1573618	Egle anthomyioides	12154177	
1573468	Anthomyia parvilamina Feng, 1987	1573468	Anthomyia parvilamina Feng, 1987	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Anthomyia	1480567	Anthomyia parvilamina	1573468	
5077581	Delia atrifrons Fan, 1982	5077581	Delia atrifrons Fan, 1982	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia atrifrons	5077581	
4793085	Pegohylemyia latirufifrons Fan, 1984	1575390	Botanophila latirufifrons (Fan, 1984)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila latirufifrons	1575390	
8110345	Paraprosalpia billbergi (Zetterstedt)	1573105	Alliopsis billbergi (Zetterstedt, 1837)	4	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis billbergi	1573105	
4793093	Pegohylemyia argyrometopa Zhong, 1985	1575628	Botanophila argyrometopa (Zhong, 1985)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila argyrometopa	1575628	
1576442	Acklandia aculeatoides Cui & Fan, 1983	1576442	Acklandia aculeatoides Cui & Fan, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Acklandia	1576435	Acklandia aculeatoides	1576442	
1575931	Pegomya chaetostigmata Zheng & Fan, 1990	1575931	Pegomya chaetostigmata Zheng & Fan, 1990	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya chaetostigmata	1575931	
1572989	Paraprosalpia magnilamella Fan, 1983	1572988	Alliopsis magnilamella (Fan, 1983)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis magnilamella	1572988	
4793098	Pegohylemyia stenocerca Zheng & Fan, 1990	1575413	Botanophila stenocerca (Zheng & Fan, 1990)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila stenocerca	1575413	
1575985	Pegomya argacra Fan, 1982	1575985	Pegomya argacra Fan, 1982	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya argacra	1575985	
1575850	Calythea atra Fan, 1974	1575849	Calythea nigra Ackland, 1971	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Calythea	1575846	Calythea nigra	1575849	
1573050	Alliopsis hemiliostylata Fan & Wu, 1983	1573050	Alliopsis hemiliostylata Fan & Wu, 1983	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis hemiliostylata	1573050	
11177081	Pegomya rhagolobos Li & Deng	11177081	Pegomya rhagolobos Li & Deng	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya rhagolobos	11177081	
1573835	Eutrichota sclerotacra Fan, 1984	1573835	Eutrichota sclerotacra Fan, 1984	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Eutrichota	1573730	Eutrichota sclerotacra	1573835	
11348036	Pegohylemyia tortiforceps Deng, 1993	11583918	Botanophila tortiforceps (Deng, 1993)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila tortiforceps	11583918	
1572968	Alliopsis heterophalla Fan & Wu, 1983	1572968	Alliopsis heterophalla Fan & Wu, 1983	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis heterophalla	1572968	
1573987	Paradelia nototrigona Ge & Fan, 1981	1573987	Paradelia nototrigona Ge & Fan, 1981	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Paradelia	1573948	Paradelia nototrigona	1573987	
1576239	Pegomya aksayensis Fan & Wu, 1987	1576239	Pegomya aksayensis Fan & Wu, 1987	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya aksayensis	1576239	
1573008	Alliopsis gigantosternita Fan, 1983	1573008	Alliopsis gigantosternita Fan, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis gigantosternita	1573008	
11301084	Pegohylemyia cylindrophalla Deng, 1983	11888773	Botanophila cylindrophalla (Deng, 1983)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila cylindrophalla	11888773	
1575292	Chirosia sichuanensis Feng, 1987	1575292	Chirosia sichuanensis Feng, 1987	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604	Chirosia sichuanensis	1575292	
4793111	Pegohylemyia caligotypa Zheng & Fan, 1990	1575534	Botanophila caligotypa (Zheng & Fan, 1990)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila caligotypa	1575534	
4793081	Pegohylemyia prenochirella Zheng & Fan, 1990	1575462	Botanophila prenochirella (Zheng & Fan, 1990)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila prenochirella	1575462	
11125147	Hydrophoria nigrinitida Feng, 2006	11125147	Hydrophoria nigrinitida Feng, 2006	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Hydrophoria	9774931	Hydrophoria nigrinitida	11125147	
1576172	Pegomya unilongiseta Deng & Li, 1988	11457899	Pegomya xuei Deng & Li, 1988	3	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya xuei	11457899	
1576410	Pegomya heteroparamera Zheng & Fan, 1990	1576410	Pegomya heteroparamera Zheng & Fan, 1990	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya heteroparamera	1576410	
